,country,alcoholic_beverages,animal_fats,animal_products,aquatic_products_other,cereals_excluding_beer,eggs,fish_seafood,fruits_excluding_wine,meat,milk_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_crops,sugar_sweeteners,treenuts,vegetable_oils,vegetables,vegetal_products,confirmed,deaths,recovered,active,population
68,India,2.08,0.03,120.36,0.0,184.56,3.25,6.9,57.69,3.78,106.06,0.0,0.33,7.73,16.68,3.47,29.63,0.8,0.0,18.55,1.62,7.95,79.86,410.45,0.734712449110778,0.0106416684522534,0.705911077780159,0.0181597028783658,1400100000.0
69,Indonesia,0.9,0.35,70.97,0.01,276.64,5.57,44.67,62.53,11.7,6.74,0.03,1.93,25.08,1.12,1.71,52.56,0.46,0.0,20.96,0.64,9.73,43.73,496.12,0.276467492704397,0.0082170759441964,0.227400557152267,0.0408498596079326,271739000.0
70,Iran (Islamic Republic of),0.01,8.06,119.05,0.03,210.4,7.38,11.73,118.96,35.98,53.76,0.01,2.11,0.81,7.1,0.84,49.36,1.95,0.0,33.0,9.64,11.57,187.98,631.62,1.46337373737374,0.0657599524658348,1.18308972073678,0.214524064171123,84150000.0
71,Iraq,1.45,0.32,47.56,0.0,182.38,9.44,3.37,49.2,19.06,15.07,3.01,0.3,2.3,3.64,0.23,8.21,1.35,0.0,25.56,0.96,15.25,37.53,331.03,1.5008005034613,0.0322819383259912,1.35888483322845,0.10963373190686,39725000.0
72,Ireland,148.53,17.09,364.37,0.01,123.72,9.13,23.43,66.7,78.68,234.4,5.79,1.63,3.4,2.6,0.71,69.38,3.64,0.0,78.77,1.64,14.71,97.14,616.55,1.86951828902658,0.0449330401758945,0.466999800119928,1.35758544873076,5003000.0
73,Israel,22.71,1.81,330.63,0.03,134.53,9.99,25.92,112.43,97.01,192.36,4.59,3.54,9.23,6.42,0.49,35.23,4.62,0.0,31.3,3.99,29.53,156.24,551.11,4.64963107638889,0.0364149305555556,4.12228732638889,0.490928819444444,9216000.0
74,Italy,60.09,5.34,358.61,0.01,160.94,11.77,29.8,113.44,80.95,228.47,0.76,2.25,3.46,5.24,0.12,35.88,5.55,0.0,32.36,7.97,26.8,130.88,583.47,3.53153774711424,0.123757794878599,2.45453761443545,0.953242337800186,60296000.0
75,Jamaica,33.49,2.82,163.07,0.1,115.59,1.98,25.41,109.65,58.96,70.92,9.45,2.87,13.58,2.96,5.1,62.31,2.28,0.0,63.74,0.15,10.31,88.05,516.6,0.459772160911356,0.0107867568529726,0.374937700249199,0.0740477038091848,2809000.0
76,Japan,46.83,0.87,177.4,1.26,140.92,19.64,45.49,33.14,49.33,58.63,3.43,2.18,8.96,1.49,1.2,25.56,4.32,2.64,25.54,0.94,15.57,91.1,401.57,0.189786213849659,0.0026530758055681,0.153657704001842,0.0334754340422492,125967000.0
77,Jordan,0.83,1.14,91.4,0.0,138.67,3.28,5.87,45.73,37.91,41.82,3.51,1.37,7.14,6.27,0.46,21.02,3.67,0.0,46.37,1.62,19.48,104.27,399.0,2.76959453132316,0.0360614289727503,2.5455005150295,0.18803258732091,10679000.0
78,Kazakhstan,41.22,6.79,360.31,0.0,122.46,8.62,4.5,60.45,64.88,270.03,5.58,5.48,2.17,0.48,0.2,102.97,2.48,0.0,27.38,1.59,21.09,191.92,579.95,1.078688874653,0.0147608370702541,0.943700619261157,0.120227418321589,18732000.0
79,Kenya,18.08,1.08,105.18,0.0,139.04,1.33,3.98,43.16,15.94,80.9,0.23,1.94,2.47,16.1,0.16,69.72,2.05,0.0,16.64,0.82,6.15,39.95,354.53,0.180492452548199,0.0031404124943954,0.147216410103124,0.03013562995068,53528000.0
80,Kiribati,3.73,0.61,111.72,0.0,103.92,2.06,76.69,73.98,29.96,1.96,6.41,0.44,125.52,0.04,0.08,90.21,0.39,0.0,51.96,2.45,5.55,51.98,516.22,,,,,125000.0
81,"Korea, North",,,,,,,,,,,,,,,,,,,,,,,,,,,,25779000.0
82,"Korea, South",,,,,,,,,,,,,,,,,,,,,,,,0.120880245649949,0.001819200092698,0.0841582819953265,0.0349027635619243,51781000.0
83,Kuwait,0.06,0.03,147.53,0.03,157.05,18.31,11.48,73.01,67.11,47.87,11.77,2.71,3.83,5.99,2.78,44.44,3.71,0.38,40.13,2.08,16.48,178.82,540.44,3.21613728416116,0.0199531016840759,3.12890641654232,0.0672777659347687,4691000.0
84,Kyrgyzstan,10.28,3.11,251.71,0.0,164.55,4.32,1.14,37.2,30.46,208.43,3.38,4.24,0.16,5.6,0.32,94.55,0.99,0.0,52.91,2.36,5.78,184.35,562.42,1.23075523202912,0.0205641492265696,1.15480740066727,0.0553836821352745,6594000.0
85,Lao People's Democratic Republic,14.01,1.74,65.01,0.01,291.37,1.89,25.26,156.68,30.41,2.9,6.05,2.81,6.37,2.64,2.34,61.91,17.54,34.22,19.73,0.05,3.82,206.89,823.61,0.0005661419497376,0.0,0.0005523336095001,1.38083402375035e-05,7242000.0
86,Latvia,102.58,22.19,353.79,0.01,120.21,12.49,24.86,48.38,68.72,222.34,4.88,3.17,2.08,0.06,0.23,123.75,3.69,0.0,49.19,1.49,13.14,116.44,586.01,2.18796004206099,0.0338590956887487,1.52565720294427,0.62844374342797,1902000.0
87,Lebanon,8.82,0.98,99.33,0.0,145.59,2.13,8.73,86.0,23.97,62.48,0.92,1.05,6.22,6.17,0.5,40.23,4.49,0.0,63.24,6.49,18.23,129.43,516.17,2.69432967032967,0.0216703296703297,1.87485714285714,0.797802197802198,6825000.0
88,Lesotho,26.36,0.18,47.04,0.0,181.2,0.93,1.84,13.95,19.53,21.54,3.01,3.03,0.56,8.96,0.9,55.55,0.28,0.0,17.05,0.04,5.24,26.04,339.0,0.149673202614379,0.0023809523809523,0.0698412698412698,0.0774509803921569,2142000.0
89,Liberia,7.83,0.2,28.48,0.0,122.29,1.21,5.88,40.6,18.27,1.17,2.27,1.75,3.15,0.74,0.01,116.34,0.1,8.94,8.51,0.59,14.82,24.03,350.2,0.0351720047449585,0.0016409648082245,0.0277975484381178,0.005733491498616,5058000.0
90,Lithuania,118.84,11.4,494.26,0.02,138.81,15.01,33.09,51.48,81.27,350.67,0.27,2.79,1.86,9.41,1.17,48.82,4.64,0.0,96.54,1.18,10.56,94.45,577.85,5.15042949176807,0.0568718682891911,2.54216177523264,2.55139584824624,2794000.0
91,Luxembourg,159.98,10.77,288.94,0.1,101.63,15.58,32.15,88.72,80.07,148.25,7.67,2.05,3.28,0.79,1.16,43.66,25.37,0.0,160.5,0.61,11.14,96.03,700.08,7.34414556962025,0.0783227848101266,6.48386075949367,0.781962025316456,632000.0
92,Madagascar,6.73,0.35,41.47,0.02,168.5,0.65,5.29,42.8,12.34,21.13,0.66,1.69,1.56,3.13,0.41,122.13,1.76,4.94,9.22,0.22,2.63,15.93,380.61,0.0639702430392546,0.0009425445090462,0.0622151601603409,0.0008125383698674,27691000.0
93,Malawi,16.12,1.11,37.83,0.0,144.75,1.13,9.5,115.48,20.34,3.44,0.54,2.31,7.41,16.14,0.19,276.56,0.53,0.0,8.74,0.22,2.78,54.23,643.68,0.0349398849973863,0.0009984317825405,0.0298379508625196,0.0041035023523261,19130000.0
94,Malaysia,9.64,0.95,136.13,0.22,186.48,17.88,57.62,44.94,52.89,5.71,1.66,0.85,6.25,2.82,4.85,17.85,1.09,0.0,42.05,0.9,17.6,66.45,402.54,0.351050913638998,0.0014459595497391,0.278121472804368,0.0714834812848906,32781000.0
95,Maldives,7.05,0.03,146.68,0.07,118.6,11.74,90.41,62.47,20.61,23.8,31.16,0.02,2.14,0.83,3.53,16.86,4.07,1.03,30.62,7.78,1.87,79.33,367.16,2.55157116451017,0.0088724584103512,2.43068391866913,0.112014787430684,541000.0
96,Mali,35.79,0.55,125.85,0.0,245.87,0.71,9.34,48.28,23.68,88.17,2.28,3.4,6.08,9.85,0.79,33.15,0.76,0.0,10.91,2.94,6.37,90.32,493.14,0.0355686138956101,0.001338205520715,0.0231791022665547,0.0110513061083403,20251000.0
97,Malta,69.51,3.67,242.24,0.03,140.61,11.95,31.9,82.43,82.05,111.33,0.56,1.33,5.16,3.91,0.59,36.65,3.74,0.0,92.85,2.2,8.65,200.88,647.73,2.47298850574713,0.0419540229885058,2.14137931034483,0.289655172413793,522000.0
