,country,confirmed,deaths,recovered,active,population
57,Ghana,0.1767772664371,0.0010781063946191,0.173005503169955,0.0026936568725259,31073000.0
58,Greece,1.30324299065421,0.0456168224299065,0.876299065420561,0.381327102803738,10700000.0
59,Grenada,0.112389380530973,0.0,0.0946902654867257,0.0176991150442478,113000.0
60,Guatemala,0.765172146573674,0.0266799512897155,0.700797077382929,0.0376951179010296,18066000.0
61,Guinea,0.10937898089172,0.0006449044585987,0.104721337579618,0.0040127388535031,12560000.0
62,Guinea-Bissau,0.127244421380384,0.0023352361183186,0.124390243902439,0.0005189413596263,1927000.0
63,Guyana,0.806607369758577,0.0208386277001271,0.74561626429479,0.0401524777636595,787000.0
64,Haiti,0.0878277646233447,0.0020696307989125,0.0756292203806016,0.0101289134438306,11403000.0
65,Honduras,1.24669505271695,0.0320356853203569,0.577210056772101,0.637449310624493,9864000.0
66,Hungary,3.33037780280536,0.0989761441589024,1.60809869970308,1.62330295894338,9767000.0
67,Iceland,1.56358695652174,0.0078804347826087,1.51576086956522,0.039945652173913,368000.0
68,India,0.734712449110778,0.0106416684522534,0.705911077780159,0.0181597028783658,1400100000.0
69,Indonesia,0.276467492704397,0.0082170759441964,0.227400557152267,0.0408498596079326,271739000.0
70,Iran (Islamic Republic of),1.46337373737374,0.0657599524658348,1.18308972073678,0.214524064171123,84150000.0
71,Iraq,1.5008005034613,0.0322819383259912,1.35888483322845,0.10963373190686,39725000.0
72,Ireland,1.86951828902658,0.0449330401758945,0.466999800119928,1.35758544873076,5003000.0
73,Israel,4.64963107638889,0.0364149305555556,4.12228732638889,0.490928819444444,9216000.0
74,Italy,3.53153774711424,0.123757794878599,2.45453761443545,0.953242337800186,60296000.0
75,Jamaica,0.459772160911356,0.0107867568529726,0.374937700249199,0.0740477038091848,2809000.0
76,Japan,0.189786213849659,0.0026530758055681,0.153657704001842,0.0334754340422492,125967000.0
77,Jordan,2.76959453132316,0.0360614289727503,2.5455005150295,0.18803258732091,10679000.0
